,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
27,XSCAPE,14,4atoBzVjNpqtfv1jyT1BS1,Do You Know Where Your Children Are (Original Version),spotify:track:4atoBzVjNpqtfv1jyT1BS1,0.288,0.744,0.831,4.49e-06,0.193,-3.583,0.138,97.094,0.855,38
28,XSCAPE,15,5r36hkZKxmL4gleijg8scM,Blue Gangsta (Original Version),spotify:track:5r36hkZKxmL4gleijg8scM,0.0607,0.898,0.47,4.7e-06,0.316,-4.132,0.188,124.059,0.717,38
29,XSCAPE,16,48rgfUDLasxWtrbVbWAvqH,Xscape (Original Version),spotify:track:48rgfUDLasxWtrbVbWAvqH,0.0633,0.79,0.93,0.00391,0.315,-2.49,0.0752,104.015,0.625,39
30,XSCAPE,17,48td6xvpokdYwvbl3JIiXP,Love Never Felt So Good,spotify:track:48td6xvpokdYwvbl3JIiXP,0.132,0.775,0.719,1.79e-06,0.0662,-6.212,0.0435,117.513,0.712,68
31,XSCAPE - Track by Track Commentary,1,1fCeK0LyjUIOKw9unnF7sI,About Love Never Felt So Good - Commentary by LA Reid,spotify:track:1fCeK0LyjUIOKw9unnF7sI,0.306,0.773,0.247,0.0,0.24,-16.228,0.923,59.266,0.601,29
32,XSCAPE - Track by Track Commentary,2,0C0f0DloFI7Kqi104RU9Sl,About Chicago - Commentary by LA Reid & Timbaland,spotify:track:0C0f0DloFI7Kqi104RU9Sl,0.288,0.61,0.364,0.0,0.568,-14.669,0.932,80.054,0.476,27
33,XSCAPE - Track by Track Commentary,3,1Z260vL8td3ibcjHsuQ8cd,About Loving You - Commentary by LA Reid & Timbaland,spotify:track:1Z260vL8td3ibcjHsuQ8cd,0.289,0.666,0.368,0.0,0.547,-16.571,0.933,147.064,0.504,27
34,XSCAPE - Track by Track Commentary,4,0uwPvNe0myDCnOye73uYZs,About A Place With No Name - Commentary by LA Reid,spotify:track:0uwPvNe0myDCnOye73uYZs,0.166,0.712,0.332,0.0,0.361,-18.014,0.922,127.274,0.312,27
35,XSCAPE - Track by Track Commentary,5,1MGnINtChOVbuNxz35DE2Q,About Slave to the Rhythm - Commentary by LA Reid & Timbaland,spotify:track:1MGnINtChOVbuNxz35DE2Q,0.0904,0.671,0.167,0.0,0.36,-14.982,0.89,89.267,0.722,26
36,XSCAPE - Track by Track Commentary,6,6J9qpZTuUJJWRQUpEjVdmQ,About Do You Know Where Your Children Are - Commentary by LA Reid & Timbaland,spotify:track:6J9qpZTuUJJWRQUpEjVdmQ,0.24,0.702,0.351,0.0,0.43,-15.93,0.942,110.276,0.679,26
37,XSCAPE - Track by Track Commentary,7,4NRh51gpNkdp1r3VSI1jCc,About Blue Gangsta - Commentary by LA Reid & Timbaland,spotify:track:4NRh51gpNkdp1r3VSI1jCc,0.288,0.811,0.47,0.0,0.712,-15.959,0.901,47.082,0.738,26
38,XSCAPE - Track by Track Commentary,8,5bauHt3U6nkmR6kZDgomzL,About Xscape - Commentary by LA Reid,spotify:track:5bauHt3U6nkmR6kZDgomzL,0.00599,0.705,0.272,0.0,0.386,-17.514,0.938,129.098,0.772,26
39,Michael,1,0pCyoA5o2uxUwIovECCziF,Hold My Hand (with Akon),spotify:track:0pCyoA5o2uxUwIovECCziF,0.191,0.606,0.72,0.0,0.108,-5.842,0.0374,90.017,0.381,61
40,Michael,2,5ensPSgQkRM60i8ZH3S9wG,Hollywood Tonight,spotify:track:5ensPSgQkRM60i8ZH3S9wG,0.00529,0.805,0.744,2.93e-05,0.0901,-4.898,0.0533,114.074,0.824,49
41,Michael,3,1hoegQXoKdKnAwqpXSvd4y,Keep Your Head Up,spotify:track:1hoegQXoKdKnAwqpXSvd4y,0.161,0.578,0.571,0.0,0.377,-4.993,0.0502,142.065,0.338,39
42,Michael,4,0DnKKKmHKzojMODmrQ7F9i,(I Like) The Way You Love Me,spotify:track:0DnKKKmHKzojMODmrQ7F9i,0.314,0.628,0.668,2.91e-05,0.228,-4.268,0.0279,95.008,0.507,45
43,Michael,5,0Lktdb6Ln1oxbOFtFkFjjP,Monster (feat. 50 Cent),spotify:track:0Lktdb6Ln1oxbOFtFkFjjP,0.00398,0.734,0.847,5.26e-05,0.178,-3.18,0.119,97.988,0.545,43
44,Michael,6,1xxV77cC2m366nO5JIx8he,Best of Joy,spotify:track:1xxV77cC2m366nO5JIx8he,0.172,0.731,0.677,1.27e-06,0.1,-4.797,0.027,98.706,0.784,39
45,Michael,7,1EvZR0biWt8uVNCqZg0Fpi,Breaking News,spotify:track:1EvZR0biWt8uVNCqZg0Fpi,0.0125,0.849,0.745,0.00881,0.373,-4.782,0.0661,113.021,0.673,38
46,Michael,8,5zKLTGk1EYhGYdbeP4DgL8,(I Can't Make It) Another Day (feat. Lenny Kravitz),spotify:track:5zKLTGk1EYhGYdbeP4DgL8,0.0344,0.678,0.837,7.51e-06,0.0471,-4.654,0.12,90.03,0.881,37
47,Michael,9,7GOfp80vVSXOAdACM4euuZ,Behind the Mask,spotify:track:7GOfp80vVSXOAdACM4euuZ,0.00586,0.756,0.913,0.0024,0.363,-2.567,0.0382,115.696,0.453,43
48,Michael,10,0U5pIKWg89q6188WGlcuKN,Much Too Soon,spotify:track:0U5pIKWg89q6188WGlcuKN,0.822,0.389,0.218,0.000392,0.114,-14.708,0.0335,84.167,0.316,38
49,Invincible,1,5L9anTQJGLyRObYDYvLWdh,Unbreakable,spotify:track:5L9anTQJGLyRObYDYvLWdh,0.0314,0.798,0.824,0.0933,0.0665,-0.933,0.144,94.017,0.851,48
50,Invincible,2,0L0wNdB2KJjQrymVBkMnAq,Heartbreaker,spotify:track:0L0wNdB2KJjQrymVBkMnAq,0.0184,0.843,0.947,0.000366,0.0888,-2.721,0.0907,136.998,0.847,41
51,Invincible,3,4HK6hmgMwGXHo3lUUNkiem,Invincible,spotify:track:4HK6hmgMwGXHo3lUUNkiem,0.0435,0.821,0.672,1.21e-05,0.0702,-1.579,0.121,94.156,0.544,42
52,Invincible,4,5UHM8Z6GXhaB6RUlBemByI,Break of Dawn,spotify:track:5UHM8Z6GXhaB6RUlBemByI,0.39,0.658,0.648,0.0,0.127,-3.074,0.106,81.007,0.409,47
53,Invincible,5,1AZXNAVDD9ZFIEKySgflFz,Heaven Can Wait,spotify:track:1AZXNAVDD9ZFIEKySgflFz,0.56,0.706,0.685,0.0,0.22,-3.669,0.0837,117.448,0.444,46
54,Invincible,6,1Lhwn4PqeGpM4LTVUowW76,You Rock My World,spotify:track:1Lhwn4PqeGpM4LTVUowW76,0.038,0.854,0.673,0.000227,0.255,-3.132,0.185,95.0,0.955,64
55,Invincible,7,0rT9f5BSZrZ6DvzfBEckG0,Butterflies,spotify:track:0rT9f5BSZrZ6DvzfBEckG0,0.0583,0.708,0.655,2.1e-06,0.11,-2.69,0.0883,89.99,0.545,57
56,Invincible,8,1O1LkHTi3Lep9OHE8BvOVe,Speechless,spotify:track:1O1LkHTi3Lep9OHE8BvOVe,0.565,0.459,0.37,0.0,0.234,-8.041,0.0471,133.907,0.118,45
57,Invincible,9,4aTYZL8uyGXAdmWOQy4Wgx,2000 Watts,spotify:track:4aTYZL8uyGXAdmWOQy4Wgx,0.0094,0.763,0.742,0.0116,0.0672,-3.113,0.155,90.503,0.242,40
58,Invincible,10,4ybCcJqXdPRLtz9Dfy92t4,You Are My Life,spotify:track:4ybCcJqXdPRLtz9Dfy92t4,0.155,0.619,0.568,0.0,0.188,-5.058,0.0349,130.201,0.214,43
59,Invincible,11,53NdDxLiNn7VSgDVi9KsYl,Privacy,spotify:track:53NdDxLiNn7VSgDVi9KsYl,0.117,0.732,0.769,0.0,0.0359,-1.828,0.0634,82.047,0.835,39
60,Invincible,12,1KWt1O0TZcdCkg3WIvkQaK,Don't Walk Away,spotify:track:1KWt1O0TZcdCkg3WIvkQaK,0.492,0.54,0.491,0.0,0.155,-5.749,0.0327,139.717,0.0991,40
61,Invincible,13,0wJelplx8NfzfyagNVaOVI,Cry,spotify:track:0wJelplx8NfzfyagNVaOVI,0.367,0.664,0.503,0.0,0.113,-5.979,0.0366,85.011,0.462,40
62,Invincible,14,00MAeOlplKSab33lINpZds,The Lost Children,spotify:track:00MAeOlplKSab33lINpZds,0.615,0.342,0.346,3.68e-05,0.0847,-6.913,0.0305,83.955,0.273,40
63,Invincible,15,4fK6bgzyKt4EIv3R1wrUtl,Whatever Happens,spotify:track:4fK6bgzyKt4EIv3R1wrUtl,0.371,0.677,0.741,2.37e-06,0.103,-2.829,0.0743,97.011,0.565,46
65,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,1,11lw4bWbmxWIETHitBU0Gc,Blood on the Dance Floor,spotify:track:11lw4bWbmxWIETHitBU0Gc,0.0135,0.807,0.741,0.0316,0.06,-4.472,0.083,108.989,0.558,58
66,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,2,5cyUiyJ9ZtQfnvFU2y31RC,Morphine,spotify:track:5cyUiyJ9ZtQfnvFU2y31RC,0.167,0.888,0.933,0.00363,0.0521,-4.516,0.105,102.896,0.176,40
67,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,3,64se9mFGa972tiKHKnJnyG,Superfly Sister,spotify:track:64se9mFGa972tiKHKnJnyG,0.0115,0.816,0.909,0.0248,0.1,-4.476,0.0518,112.963,0.827,37
69,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,5,1H43TqXTWkEhXjdw3LEfUS,Is It Scary,spotify:track:1H43TqXTWkEhXjdw3LEfUS,0.399,0.628,0.868,0.00126,0.353,-5.463,0.0634,108.857,0.283,40
70,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,6,45I4o7CBHKEUie84viUIuM,Scream Louder - Flyte Tyme Remix,spotify:track:45I4o7CBHKEUie84viUIuM,0.0792,0.771,0.957,0.00351,0.0977,-6.642,0.212,105.533,0.469,33
71,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,7,3ePJSoCy4owa8jLRiYlE1u,Money - Fire Island Radio Edit,spotify:track:3ePJSoCy4owa8jLRiYlE1u,0.0019,0.796,0.824,0.0758,0.045,-9.25,0.044,114.013,0.83,31
72,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,8,7hYyDytE51gtqG3JzvQdz3,2 Bad - Refugee Camp Mix,spotify:track:7hYyDytE51gtqG3JzvQdz3,0.192,0.85,0.922,0.0,0.0517,-6.902,0.0869,103.867,0.813,32
73,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,9,5dWL7WXyzTdho4tplQqJzK,Stranger in Moscow - Tee's In-House Club Mix,spotify:track:5dWL7WXyzTdho4tplQqJzK,0.0014,0.77,0.875,0.334,0.106,-5.491,0.0531,124.11,0.845,31
74,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,10,35dPTlVylfHvcgIVj1M9LW,This Time Around - D.M. Radio Mix,spotify:track:35dPTlVylfHvcgIVj1M9LW,0.00473,0.86,0.918,1.22e-05,0.0575,-5.515,0.0685,123.336,0.572,29
75,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,11,4Uw7RAKTS31MDUJ9KSxmCz,Earth Song - Hani's Extended Radio Experience,spotify:track:4Uw7RAKTS31MDUJ9KSxmCz,0.00594,0.731,0.614,0.686,0.106,-10.177,0.0463,129.343,0.548,33
76,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,12,0QMzztcTWRykks8aXErji5,You Are Not Alone - Classic Club Mix,spotify:track:0QMzztcTWRykks8aXErji5,0.00363,0.606,0.853,0.0062,0.0432,-7.189,0.0364,124.516,0.695,31
77,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,13,2tjDDVaEtfp6JPtnTEAvoE,History - Tony Moran's HIStory Lesson,spotify:track:2tjDDVaEtfp6JPtnTEAvoE,0.00198,0.677,0.881,0.0192,0.109,-5.878,0.0489,123.93,0.683,33
91,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",2,541jTq3SOEELKvcfA0jHI0,The Way You Make Me Feel,spotify:track:541jTq3SOEELKvcfA0jHI0,0.0367,0.608,0.816,0.000554,0.116,-5.926,0.11,114.484,0.507,57
93,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",4,5yxIenY5kSLlgTr3XGYw9p,Rock With You,spotify:track:5yxIenY5kSLlgTr3XGYw9p,0.0793,0.794,0.741,0.000292,0.116,-6.494,0.0394,114.489,0.856,56
94,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",5,1UpdFu6w98DuTMW8twhT6D,She's Out Of My Life,spotify:track:1UpdFu6w98DuTMW8twhT6D,0.96,0.251,0.12,0.000769,0.111,-15.419,0.0364,85.385,0.126,46
95,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",6,3FvQH46A4B37eNHjooIXcu,Bad,spotify:track:3FvQH46A4B37eNHjooIXcu,0.00712,0.802,0.869,0.241,0.0585,-5.03,0.0457,114.139,0.339,56
96,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",7,4yD5hKvrw3L6sRJbzgaFwe,I Just Can't Stop Loving You,spotify:track:4yD5hKvrw3L6sRJbzgaFwe,0.628,0.654,0.488,4.9e-06,0.0412,-8.237,0.0358,100.154,0.25,55
97,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",8,2u2udGmop1z67EPpr91km7,Man in the Mirror,spotify:track:2u2udGmop1z67EPpr91km7,0.43,0.794,0.798,1.15e-05,0.114,-5.639,0.0366,100.338,0.265,65
99,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",10,52xaypL0Kjzk0ngwv3oBPR,Beat It,spotify:track:52xaypL0Kjzk0ngwv3oBPR,0.0268,0.761,0.799,6.22e-05,0.17,-6.247,0.0449,138.825,0.906,62
102,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",13,1883SZ1i4AIgtCFQ1KaK8t,Don't Stop 'Til You Get Enough,spotify:track:1883SZ1i4AIgtCFQ1KaK8t,0.0473,0.878,0.93,0.0155,0.111,-4.705,0.0822,119.331,0.895,49
106,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",2,3wuCCNCnBhJlwkIJTBZFiv,They Don't Care About Us,spotify:track:3wuCCNCnBhJlwkIJTBZFiv,0.205,0.859,0.905,0.00825,0.322,-5.539,0.129,89.945,0.73,68
107,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",3,64KrFHj9p5AyCX2yZQr4YJ,Stranger in Moscow,spotify:track:64KrFHj9p5AyCX2yZQr4YJ,0.248,0.802,0.468,0.0006,0.32,-8.629,0.0378,129.937,0.586,57
108,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",4,6U6Cr0sQTmuvPqEs8iLgPn,This Time Around,spotify:track:6U6Cr0sQTmuvPqEs8iLgPn,0.0473,0.878,0.826,0.000568,0.0648,-4.711,0.0535,105.856,0.912,44
109,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",5,4GCGH6TJ69neckwITeBFXK,Earth Song,spotify:track:4GCGH6TJ69neckwITeBFXK,0.482,0.5,0.44,0.000112,0.087,-7.521,0.0319,138.374,0.143,63
110,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",6,7roNDDmU52OYgYwCN9SI8E,D.S.,spotify:track:7roNDDmU52OYgYwCN9SI8E,0.218,0.889,0.914,0.00595,0.347,-4.308,0.0637,109.463,0.972,44
111,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",7,2VCSO1mqWPALcPbEQwgSd3,Money,spotify:track:2VCSO1mqWPALcPbEQwgSd3,0.032,0.899,0.681,1.82e-05,0.196,-6.913,0.0804,102.942,0.817,44
